,date,area_name,area_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
33115,2022-10-15,Kingston upon Thames,E09000021,-20,-3,69,-5,-1,1
13635,2022-10-15,Hammersmith and Fulham,E09000013,-30,-9,3,-31,-23,1
12661,2022-10-15,Hackney,E09000012,-24,-8,-8,-24,-17,0
3895,2022-10-15,Barking and Dagenham,E09000002,-17,2,27,-6,-19,0
28245,2022-10-15,Tower Hamlets,E09000030,-13,-2,-9,-17,-9,0
21427,2022-10-15,Lewisham,E09000023,-8,-1,-15,-17,-17,1
19479,2022-10-15,Islington,E09000019,-31,-5,-10,-49,-12,0
5843,2022-10-15,Bexley,E09000004,-17,5,32,-26,-12,1
30193,2022-10-15,Wandsworth,E09000032,-26,-16,41,-18,-8,0
14609,2022-10-15,Haringey,E09000014,0,-10,-16,4,-26,0
11687,2022-10-15,Enfield,E09000010,-21,-9,10,-25,-15,1
27271,2022-10-15,Sutton,E09000029,-17,0,3,-29,-11,0
22401,2022-10-15,Merton,E09000024,-24,-10,-15,-5,-12,0
16557,2022-10-15,Havering,E09000016,-13,0,-7,-10,-5,0
6817,2022-10-15,Brent,E09000005,-11,0,24,-12,-12,0
18505,2022-10-15,Hounslow,E09000018,-9,14,-2,6,-2,0
8765,2022-10-15,Camden,E09000007,-21,-5,-14,14,-9,0
31167,2022-10-15,Greenwich,E09000011,-5,4,-18,3,-12,1
15583,2022-10-15,Harrow,E09000015,-13,18,47,6,5,0
10713,2022-10-15,Ealing,E09000009,-11,-4,15,-13,-12,0
26297,2022-10-15,Southwark,E09000028,-22,-8,-8,1,-4,-1
23375,2022-10-15,Newham,E09000025,-22,-1,82,-8,-1,-1
32141,2022-10-15,Kensington and Chelsea,E09000020,-25,9,-11,-23,-21,0
1947,2022-10-15,City of London,E09000001,-10,-42,-7,8,,
7791,2022-10-15,Bromley,E09000006,-17,6,-10,-14,-2,0
17531,2022-10-15,Hillingdon,E09000017,-10,-9,144,1,-7,0
24349,2022-10-15,Redbridge,E09000026,-18,-5,-19,-17,-12,0
9739,2022-10-15,Croydon,E09000008,-20,3,1,-24,-10,0
25323,2022-10-15,Richmond upon Thames,E09000027,-23,0,-19,-18,-14,0
4869,2022-10-15,Barnet,E09000003,-16,4,-4,-13,-10,0
2921,2022-10-15,Westminster,E09000033,-24,3,-30,-8,-18,0
29219,2022-10-15,Waltham Forest,E09000031,-13,-3,-29,-19,-20,1
20453,2022-10-15,Lambeth,E09000022,-23,-9,35,0,-4,0
2920,2022-10-14,Westminster,E09000033,-37,-8,-20,-20,-39,7
23374,2022-10-14,Newham,E09000025,-18,2,135,-17,-25,4
26296,2022-10-14,Southwark,E09000028,-28,-5,-10,-25,-32,7
10712,2022-10-14,Ealing,E09000009,-10,-6,-12,-24,-30,6
15582,2022-10-14,Harrow,E09000015,-14,17,30,-9,-26,7
3894,2022-10-14,Barking and Dagenham,E09000002,-15,10,29,-11,-29,3
30192,2022-10-14,Wandsworth,E09000032,-26,-12,50,-18,-40,10
18504,2022-10-14,Hounslow,E09000018,0,3,10,-7,-26,5
8764,2022-10-14,Camden,E09000007,-30,-2,-4,-7,-41,9
6816,2022-10-14,Brent,E09000005,-15,4,10,-17,-29,5
28244,2022-10-14,Tower Hamlets,E09000030,-25,-3,-13,-32,-43,9
31166,2022-10-14,Greenwich,E09000011,-6,6,-6,-4,-38,7
1946,2022-10-14,City of London,E09000001,-57,-59,-40,-34,-30,
21426,2022-10-14,Lewisham,E09000023,-4,4,-7,-22,-39,8
19478,2022-10-14,Islington,E09000019,-41,-15,-10,-65,-48,10
22400,2022-10-14,Merton,E09000024,-26,-5,-25,-25,-34,7
27270,2022-10-14,Sutton,E09000029,-17,4,6,-35,-38,7
20452,2022-10-14,Lambeth,E09000022,-23,-6,40,-31,-37,9
11686,2022-10-14,Enfield,E09000010,-21,-5,-2,-34,-30,5
14608,2022-10-14,Haringey,E09000014,-20,-8,-13,-24,-40,6
29218,2022-10-14,Waltham Forest,E09000031,-13,-5,-14,-29,-38,6
5842,2022-10-14,Bexley,E09000004,-21,5,33,-31,-32,7
32140,2022-10-14,Kensington and Chelsea,E09000020,-29,1,-21,-31,-40,8
16556,2022-10-14,Havering,E09000016,-14,3,0,-18,-29,6
4868,2022-10-14,Barnet,E09000003,-19,-2,-1,-24,-32,7
24348,2022-10-14,Redbridge,E09000026,-17,-4,-19,-25,-38,6
17530,2022-10-14,Hillingdon,E09000017,-12,-7,140,-4,-29,5
7790,2022-10-14,Bromley,E09000006,-15,9,-5,-27,-40,8
33114,2022-10-14,Kingston upon Thames,E09000021,-23,-6,76,-18,-34,8
25322,2022-10-14,Richmond upon Thames,E09000027,-23,1,7,-29,-49,8
9738,2022-10-14,Croydon,E09000008,-20,7,-7,-25,-30,6
13634,2022-10-14,Hammersmith and Fulham,E09000013,-33,-11,-13,-36,-45,8
12660,2022-10-14,Hackney,E09000012,-25,-4,-5,-31,-38,8
2919,2022-10-13,Westminster,E09000033,-28,-5,-10,-17,-36,6
20451,2022-10-13,Lambeth,E09000022,-19,-10,39,-26,-33,6
4867,2022-10-13,Barnet,E09000003,-18,-2,12,-22,-33,6
13633,2022-10-13,Hammersmith and Fulham,E09000013,-31,-10,-6,-35,-41,6
12659,2022-10-13,Hackney,E09000012,-23,-4,0,-31,-34,5
31165,2022-10-13,Greenwich,E09000011,-14,7,-1,-11,-38,6
21425,2022-10-13,Lewisham,E09000023,-7,6,1,-22,-34,6
1945,2022-10-13,City of London,E09000001,-40,-45,-29,-23,-22,
22399,2022-10-13,Merton,E09000024,-25,-11,-28,-26,-34,6
9737,2022-10-13,Croydon,E09000008,-17,9,6,-24,-26,6
19477,2022-10-13,Islington,E09000019,-35,-13,-18,-63,-42,7
28243,2022-10-13,Tower Hamlets,E09000030,-15,-4,-6,-27,-38,6
27269,2022-10-13,Sutton,E09000029,-16,4,16,-37,-37,7
11685,2022-10-13,Enfield,E09000010,-21,-5,5,-35,-31,4
25321,2022-10-13,Richmond upon Thames,E09000027,-24,1,9,-28,-45,8
29217,2022-10-13,Waltham Forest,E09000031,-13,-1,-13,-27,-35,5
14607,2022-10-13,Haringey,E09000014,-23,-8,-5,-24,-38,5
16555,2022-10-13,Havering,E09000016,-13,5,1,-16,-26,5
5841,2022-10-13,Bexley,E09000004,-20,5,33,-28,-31,6
6815,2022-10-13,Brent,E09000005,-10,3,27,-14,-29,4
3893,2022-10-13,Barking and Dagenham,E09000002,-15,6,28,-8,-31,3
33113,2022-10-13,Kingston upon Thames,E09000021,-21,-6,,-17,-32,7
15581,2022-10-13,Harrow,E09000015,-11,12,47,-7,-22,6
32139,2022-10-13,Kensington and Chelsea,E09000020,-25,0,-20,-27,-39,6
7789,2022-10-13,Bromley,E09000006,-15,7,5,-29,-34,7
23373,2022-10-13,Newham,E09000025,-2,4,368,-16,-24,3
26295,2022-10-13,Southwark,E09000028,-24,-8,-1,-22,-27,6
30191,2022-10-13,Wandsworth,E09000032,-28,-14,3,-18,-36,8
17529,2022-10-13,Hillingdon,E09000017,-10,-3,158,-4,-29,5
10711,2022-10-13,Ealing,E09000009,-8,-4,11,-23,-29,5
24347,2022-10-13,Redbridge,E09000026,-15,-7,-9,-29,-37,5
8763,2022-10-13,Camden,E09000007,-27,-3,-8,-5,-37,6
18503,2022-10-13,Hounslow,E09000018,-12,5,12,-13,-25,4
15580,2022-10-12,Harrow,E09000015,-10,13,35,-6,-19,6
11684,2022-10-12,Enfield,E09000010,-23,-8,2,-34,-31,5
32138,2022-10-12,Kensington and Chelsea,E09000020,-24,0,-15,-26,-37,7
14606,2022-10-12,Haringey,E09000014,5,-9,-13,-18,-39,6
7788,2022-10-12,Bromley,E09000006,-15,5,3,-26,-34,8
16554,2022-10-12,Havering,E09000016,-13,-3,-1,-20,-26,5
1944,2022-10-12,City of London,E09000001,-40,-45,-19,-24,-30,
25320,2022-10-12,Richmond upon Thames,E09000027,-25,-3,7,-31,-46,8
2918,2022-10-12,Westminster,E09000033,-28,-5,-7,-19,-36,6
23372,2022-10-12,Newham,E09000025,-15,1,157,-18,-21,4
26294,2022-10-12,Southwark,E09000028,-25,-9,3,-24,-31,6
18502,2022-10-12,Hounslow,E09000018,-12,3,14,-11,-22,4
8762,2022-10-12,Camden,E09000007,-27,-9,-1,-7,-36,7
10710,2022-10-12,Ealing,E09000009,-5,-5,3,-22,-31,5
27268,2022-10-12,Sutton,E09000029,-15,6,17,-35,-36,7
22398,2022-10-12,Merton,E09000024,-25,-12,-20,-26,-32,6
24346,2022-10-12,Redbridge,E09000026,-19,-4,-17,-25,-38,5
9736,2022-10-12,Croydon,E09000008,-17,2,0,-24,-26,6
20450,2022-10-12,Lambeth,E09000022,-20,-10,46,-31,-32,7
17528,2022-10-12,Hillingdon,E09000017,-10,-9,157,-3,-29,5
31164,2022-10-12,Greenwich,E09000011,-19,5,-3,-9,-35,6
33112,2022-10-12,Kingston upon Thames,E09000021,-26,-5,,-22,-32,7
6814,2022-10-12,Brent,E09000005,-14,2,16,-20,-29,4
13632,2022-10-12,Hammersmith and Fulham,E09000013,-25,-11,-4,-34,-43,6
28242,2022-10-12,Tower Hamlets,E09000030,-16,-7,-9,-29,-36,7
5840,2022-10-12,Bexley,E09000004,-21,3,28,-31,-32,6
12658,2022-10-12,Hackney,E09000012,-24,-9,10,-33,-35,7
29216,2022-10-12,Waltham Forest,E09000031,-15,-3,-19,-28,-34,6
21424,2022-10-12,Lewisham,E09000023,-4,4,3,-23,-32,7
4866,2022-10-12,Barnet,E09000003,-18,-5,-3,-22,-33,7
30190,2022-10-12,Wandsworth,E09000032,-27,-16,3,-22,-35,8
3892,2022-10-12,Barking and Dagenham,E09000002,-18,6,16,-17,-30,3
19476,2022-10-12,Islington,E09000019,-35,-15,-11,-65,-43,8
3891,2022-10-11,Barking and Dagenham,E09000002,-16,0,35,-10,-34,3
22397,2022-10-11,Merton,E09000024,-24,-13,-10,-24,-33,7
21423,2022-10-11,Lewisham,E09000023,-4,2,14,-21,-33,6
1943,2022-10-11,City of London,E09000001,-41,-47,-26,-26,-25,
12657,2022-10-11,Hackney,E09000012,-28,-11,8,-35,-36,5
10709,2022-10-11,Ealing,E09000009,-12,4,20,-20,-29,5
32137,2022-10-11,Kensington and Chelsea,E09000020,-24,2,-15,-29,-37,6
6813,2022-10-11,Brent,E09000005,-13,1,40,-20,-28,4
7787,2022-10-11,Bromley,E09000006,-13,10,6,-27,-34,7
27267,2022-10-11,Sutton,E09000029,-16,3,24,-35,-37,7
19475,2022-10-11,Islington,E09000019,-36,-14,-1,-65,-43,7
33111,2022-10-11,Kingston upon Thames,E09000021,-24,-6,,-21,-32,6
31163,2022-10-11,Greenwich,E09000011,-3,4,15,-5,-37,6
15579,2022-10-11,Harrow,E09000015,-6,14,62,-5,-19,6
26293,2022-10-11,Southwark,E09000028,-24,-9,6,-23,-30,6
23371,2022-10-11,Newham,E09000025,-9,3,174,-18,-24,3
11683,2022-10-11,Enfield,E09000010,-19,-10,18,-34,-32,4
4865,2022-10-11,Barnet,E09000003,-21,-8,16,-23,-36,5
17527,2022-10-11,Hillingdon,E09000017,-9,-2,146,-2,-27,5
13631,2022-10-11,Hammersmith and Fulham,E09000013,-28,-12,0,-33,-42,6
16553,2022-10-11,Havering,E09000016,-14,2,8,-18,-26,5
20449,2022-10-11,Lambeth,E09000022,-19,-9,66,-28,-30,7
28241,2022-10-11,Tower Hamlets,E09000030,-16,-3,8,-30,-37,6
25319,2022-10-11,Richmond upon Thames,E09000027,-25,0,13,-30,-47,8
9735,2022-10-11,Croydon,E09000008,-15,7,15,-25,-28,6
8761,2022-10-11,Camden,E09000007,-25,-5,13,-7,-37,6
30189,2022-10-11,Wandsworth,E09000032,-27,-18,12,-20,-35,8
14605,2022-10-11,Haringey,E09000014,-23,-11,3,-27,-42,5
5839,2022-10-11,Bexley,E09000004,-22,3,38,-32,-30,6
2917,2022-10-11,Westminster,E09000033,-28,-6,-5,-18,-35,5
24345,2022-10-11,Redbridge,E09000026,-14,-1,-5,-23,-39,5
29215,2022-10-11,Waltham Forest,E09000031,-16,-4,-8,-28,-37,6
18501,2022-10-11,Hounslow,E09000018,-9,4,27,-11,-26,4
15578,2022-10-10,Harrow,E09000015,-5,17,68,-10,-24,7
20448,2022-10-10,Lambeth,E09000022,-24,-11,69,-34,-38,9
8760,2022-10-10,Camden,E09000007,-28,-13,23,-9,-44,9
27266,2022-10-10,Sutton,E09000029,-18,4,33,-38,-39,7
3890,2022-10-10,Barking and Dagenham,E09000002,-17,3,48,-17,-34,4
18500,2022-10-10,Hounslow,E09000018,-5,7,24,-12,-28,5
28240,2022-10-10,Tower Hamlets,E09000030,-19,-7,13,-28,-43,9
30188,2022-10-10,Wandsworth,E09000032,-28,-16,15,-26,-42,10
29214,2022-10-10,Waltham Forest,E09000031,-15,-3,-10,-31,-39,7
16552,2022-10-10,Havering,E09000016,-14,2,5,-22,-29,6
25318,2022-10-10,Richmond upon Thames,E09000027,-26,2,9,-32,-49,9
9734,2022-10-10,Croydon,E09000008,-17,3,18,-24,-28,7
4864,2022-10-10,Barnet,E09000003,-23,-4,8,-28,-40,9
13630,2022-10-10,Hammersmith and Fulham,E09000013,-30,-13,8,-34,-46,9
24344,2022-10-10,Redbridge,E09000026,-14,-5,-3,-28,-40,6
17526,2022-10-10,Hillingdon,E09000017,-9,-1,175,-7,-30,6
10708,2022-10-10,Ealing,E09000009,-15,5,17,-19,-32,6
33110,2022-10-10,Kingston upon Thames,E09000021,-18,-4,,-24,-36,9
1942,2022-10-10,City of London,E09000001,-50,-56,-32,-35,-34,
12656,2022-10-10,Hackney,E09000012,-31,-9,11,-40,-42,8
7786,2022-10-10,Bromley,E09000006,-18,7,5,-30,-39,9
23370,2022-10-10,Newham,E09000025,-11,2,178,-12,-27,5
26292,2022-10-10,Southwark,E09000028,-26,-7,6,-28,-34,8
32136,2022-10-10,Kensington and Chelsea,E09000020,-25,3,-17,-27,-39,8
6812,2022-10-10,Brent,E09000005,-13,4,44,-21,-30,5
11682,2022-10-10,Enfield,E09000010,-20,-9,17,-37,-33,5
19474,2022-10-10,Islington,E09000019,-40,-17,-12,-65,-49,10
2916,2022-10-10,Westminster,E09000033,-28,-2,0,-19,-41,8
22396,2022-10-10,Merton,E09000024,-24,-9,-6,-27,-35,7
21422,2022-10-10,Lewisham,E09000023,-4,0,11,-25,-39,8
31162,2022-10-10,Greenwich,E09000011,5,5,10,-4,-39,7
14604,2022-10-10,Haringey,E09000014,-21,-10,-5,-29,-44,7
5838,2022-10-10,Bexley,E09000004,-22,1,37,-31,-34,7
12655,2022-10-09,Hackney,E09000012,-22,-11,8,-15,-12,-1
26291,2022-10-09,Southwark,E09000028,-21,-3,9,-23,-3,-1
3889,2022-10-09,Barking and Dagenham,E09000002,-17,-6,63,-3,-18,-1
21421,2022-10-09,Lewisham,E09000023,-5,-4,25,-11,-13,-1
18499,2022-10-09,Hounslow,E09000018,-2,10,24,10,-4,-1
1941,2022-10-09,City of London,E09000001,-18,-54,-32,-3,,
13629,2022-10-09,Hammersmith and Fulham,E09000013,-31,-18,16,-31,-20,-1
33109,2022-10-09,Kingston upon Thames,E09000021,-17,-7,118,-5,-2,-1
11681,2022-10-09,Enfield,E09000010,-24,-11,31,-19,-12,0
8759,2022-10-09,Camden,E09000007,-18,-8,11,13,-16,-1
15577,2022-10-09,Harrow,E09000015,-11,7,75,15,15,-1
31161,2022-10-09,Greenwich,E09000011,1,4,5,8,-10,-1
19473,2022-10-09,Islington,E09000019,4,-11,30,-45,-13,-1
28239,2022-10-09,Tower Hamlets,E09000030,-13,-16,6,-14,-8,-1
7785,2022-10-09,Bromley,E09000006,-14,6,19,-11,2,-1
23369,2022-10-09,Newham,E09000025,3,-6,340,3,-1,-2
22395,2022-10-09,Merton,E09000024,-21,-16,-1,-14,-12,-1
30187,2022-10-09,Wandsworth,E09000032,-21,-15,2,-15,0,-1
32135,2022-10-09,Kensington and Chelsea,E09000020,-29,-1,-12,-17,-20,-1
10707,2022-10-09,Ealing,E09000009,-13,7,19,-7,-10,-1
14603,2022-10-09,Haringey,E09000014,23,-12,-7,24,-25,-1
17525,2022-10-09,Hillingdon,E09000017,-8,-9,159,4,-2,-1
27265,2022-10-09,Sutton,E09000029,-22,-2,32,-26,-10,0
16551,2022-10-09,Havering,E09000016,-13,1,28,0,-1,-1
4863,2022-10-09,Barnet,E09000003,-18,-1,16,-12,-8,0
29213,2022-10-09,Waltham Forest,E09000031,-12,-7,8,-16,-16,0
20447,2022-10-09,Lambeth,E09000022,-21,-8,69,-4,-6,-1
6811,2022-10-09,Brent,E09000005,-11,1,45,-12,-9,-1
5837,2022-10-09,Bexley,E09000004,-21,-2,51,-23,-9,0
9733,2022-10-09,Croydon,E09000008,-6,3,18,-11,-6,0
24343,2022-10-09,Redbridge,E09000026,-16,-11,6,-13,-14,-1
2915,2022-10-09,Westminster,E09000033,-19,0,-2,5,-17,-1
25317,2022-10-09,Richmond upon Thames,E09000027,-22,-7,9,-31,-19,-2
22394,2022-10-08,Merton,E09000024,-21,-8,0,-11,-12,-1
4862,2022-10-08,Barnet,E09000003,-15,6,19,-8,-10,0
16550,2022-10-08,Havering,E09000016,-13,2,15,-10,-2,0
23368,2022-10-08,Newham,E09000025,-20,-4,121,-18,-2,-1
30186,2022-10-08,Wandsworth,E09000032,-27,-14,9,-25,-8,0
28238,2022-10-08,Tower Hamlets,E09000030,-12,-3,6,-11,-11,0
9732,2022-10-08,Croydon,E09000008,-17,6,28,-33,-11,0
29212,2022-10-08,Waltham Forest,E09000031,-15,-2,-18,-21,-19,0
14602,2022-10-08,Haringey,E09000014,-18,-10,-6,-21,-26,0
32134,2022-10-08,Kensington and Chelsea,E09000020,-27,12,-5,-12,-19,0
26290,2022-10-08,Southwark,E09000028,-21,-6,6,-27,-5,-1
19472,2022-10-08,Islington,E09000019,-32,-5,15,-53,-13,0
12654,2022-10-08,Hackney,E09000012,-23,-6,5,-36,-17,0
24342,2022-10-08,Redbridge,E09000026,-15,-8,-11,-13,-13,-1
33108,2022-10-08,Kingston upon Thames,E09000021,-15,0,89,-22,1,0
11680,2022-10-08,Enfield,E09000010,-20,-8,22,-34,-15,0
5836,2022-10-08,Bexley,E09000004,-19,3,62,-31,-11,0
1940,2022-10-08,City of London,E09000001,-28,-51,-30,-27,,
17524,2022-10-08,Hillingdon,E09000017,-7,-5,168,9,-8,-1
10706,2022-10-08,Ealing,E09000009,-15,5,29,-9,-12,0
7784,2022-10-08,Bromley,E09000006,-12,11,12,-40,-1,1
13628,2022-10-08,Hammersmith and Fulham,E09000013,-24,-6,28,-28,-22,0
25316,2022-10-08,Richmond upon Thames,E09000027,-19,1,0,-32,-14,0
2914,2022-10-08,Westminster,E09000033,-27,-1,-24,-18,-19,0
15576,2022-10-08,Harrow,E09000015,-8,16,84,8,7,0
18498,2022-10-08,Hounslow,E09000018,-7,13,16,8,-3,-1
21420,2022-10-08,Lewisham,E09000023,0,0,9,-21,-18,0
3888,2022-10-08,Barking and Dagenham,E09000002,-17,1,49,-5,-19,-1
31160,2022-10-08,Greenwich,E09000011,-13,6,-12,4,-12,0
8758,2022-10-08,Camden,E09000007,-24,-8,-1,-19,-9,1
27264,2022-10-08,Sutton,E09000029,-17,4,35,-39,-13,0
20446,2022-10-08,Lambeth,E09000022,-21,-8,56,-29,-2,-1
6810,2022-10-08,Brent,E09000005,-11,0,46,-14,-12,0
14601,2022-10-07,Haringey,E09000014,-20,-10,-7,-22,-40,6
9731,2022-10-07,Croydon,E09000008,-21,6,1,-24,-28,6
6809,2022-10-07,Brent,E09000005,23,3,36,1,-30,5
11679,2022-10-07,Enfield,E09000010,-21,-7,1,-34,-31,5
18497,2022-10-07,Hounslow,E09000018,-11,3,8,-11,-26,5
28237,2022-10-07,Tower Hamlets,E09000030,-24,-2,-9,-28,-42,8
1939,2022-10-07,City of London,E09000001,-54,-59,-40,-30,-37,
16549,2022-10-07,Havering,E09000016,-13,4,9,-18,-30,5
4861,2022-10-07,Barnet,E09000003,-19,-1,7,-22,-32,7
8757,2022-10-07,Camden,E09000007,-33,-6,3,-7,-40,8
29211,2022-10-07,Waltham Forest,E09000031,-14,-5,-14,-29,-37,6
2913,2022-10-07,Westminster,E09000033,-37,-8,-18,-20,-40,7
21419,2022-10-07,Lewisham,E09000023,-3,2,-2,-21,-38,7
3887,2022-10-07,Barking and Dagenham,E09000002,-17,7,32,-12,-29,3
17523,2022-10-07,Hillingdon,E09000017,-11,-3,137,0,-29,5
5835,2022-10-07,Bexley,E09000004,-20,3,41,-32,-32,6
19471,2022-10-07,Islington,E09000019,-39,-15,-1,-63,-48,10
25315,2022-10-07,Richmond upon Thames,E09000027,-25,0,8,-31,-48,8
24341,2022-10-07,Redbridge,E09000026,-14,-7,-9,-26,-39,6
27263,2022-10-07,Sutton,E09000029,-16,4,19,-36,-39,7
13627,2022-10-07,Hammersmith and Fulham,E09000013,-29,-13,1,-35,-46,8
10705,2022-10-07,Ealing,E09000009,-17,2,5,-23,-31,5
26289,2022-10-07,Southwark,E09000028,-26,-6,-3,-21,-33,7
7783,2022-10-07,Bromley,E09000006,-15,10,6,-25,-39,8
30185,2022-10-07,Wandsworth,E09000032,-27,-12,5,-19,-40,10
31159,2022-10-07,Greenwich,E09000011,-20,4,-3,-5,-38,7
15575,2022-10-07,Harrow,E09000015,-13,13,41,-6,-25,6
23367,2022-10-07,Newham,E09000025,-17,1,143,-16,-24,4
20445,2022-10-07,Lambeth,E09000022,-25,-7,48,-30,-37,8
22393,2022-10-07,Merton,E09000024,-26,-7,-15,-24,-34,7
32133,2022-10-07,Kensington and Chelsea,E09000020,-29,-1,-20,-25,-41,8
12653,2022-10-07,Hackney,E09000012,-26,-3,0,-32,-38,7
33107,2022-10-07,Kingston upon Thames,E09000021,-22,-5,,-21,-34,8
16548,2022-10-06,Havering,E09000016,-11,9,13,-18,-25,5
7782,2022-10-06,Bromley,E09000006,-11,9,11,-29,-33,7
3886,2022-10-06,Barking and Dagenham,E09000002,-15,9,41,-11,-31,3
17522,2022-10-06,Hillingdon,E09000017,-7,0,160,-1,-29,5
5834,2022-10-06,Bexley,E09000004,-20,6,40,-28,-30,5
4860,2022-10-06,Barnet,E09000003,-16,3,19,-21,-29,6
15574,2022-10-06,Harrow,E09000015,-6,12,58,-8,-20,5
25314,2022-10-06,Richmond upon Thames,E09000027,-19,2,24,-28,-44,7
2912,2022-10-06,Westminster,E09000033,-30,-5,-7,-22,-35,5
9730,2022-10-06,Croydon,E09000008,-14,9,16,-24,-25,5
30184,2022-10-06,Wandsworth,E09000032,-26,-12,5,-18,-35,7
27262,2022-10-06,Sutton,E09000029,-15,5,22,-35,-36,6
23366,2022-10-06,Newham,E09000025,-19,2,156,-22,-22,3
20444,2022-10-06,Lambeth,E09000022,-22,-10,59,-28,-31,6
14600,2022-10-06,Haringey,E09000014,-17,-7,0,-22,-37,5
24340,2022-10-06,Redbridge,E09000026,-11,-7,0,-29,-37,5
31158,2022-10-06,Greenwich,E09000011,-12,9,6,-12,-37,6
6808,2022-10-06,Brent,E09000005,-11,4,37,-18,-28,4
8756,2022-10-06,Camden,E09000007,-27,-4,2,-9,-34,6
32132,2022-10-06,Kensington and Chelsea,E09000020,-26,3,-15,-28,-37,5
33106,2022-10-06,Kingston upon Thames,E09000021,-20,-2,,-16,-30,7
1938,2022-10-06,City of London,E09000001,-39,-44,-29,-27,-23,
28236,2022-10-06,Tower Hamlets,E09000030,-17,-1,7,-31,-36,6
29210,2022-10-06,Waltham Forest,E09000031,-13,0,0,-25,-35,5
18496,2022-10-06,Hounslow,E09000018,-9,7,22,-13,-24,4
12652,2022-10-06,Hackney,E09000012,-20,-1,6,-27,-32,5
11678,2022-10-06,Enfield,E09000010,-20,-4,19,-32,-31,4
22392,2022-10-06,Merton,E09000024,-22,-11,-20,-26,-33,6
10704,2022-10-06,Ealing,E09000009,-12,8,17,-20,-29,4
26288,2022-10-06,Southwark,E09000028,-21,-7,3,-25,-25,5
19470,2022-10-06,Islington,E09000019,-11,-9,-1,-56,-41,6
21418,2022-10-06,Lewisham,E09000023,-2,4,16,-22,-33,6
13626,2022-10-06,Hammersmith and Fulham,E09000013,-28,-9,4,-35,-42,6
9729,2022-10-05,Croydon,E09000008,-16,3,-11,-37,-32,9
4859,2022-10-05,Barnet,E09000003,-23,-11,-20,-28,-41,8
10703,2022-10-05,Ealing,E09000009,-13,3,-10,-23,-35,7
21417,2022-10-05,Lewisham,E09000023,-1,7,-3,-36,-42,11
13625,2022-10-05,Hammersmith and Fulham,E09000013,-10,-13,-8,-37,-47,9
14599,2022-10-05,Haringey,E09000014,-27,-10,-25,-39,-43,8
28235,2022-10-05,Tower Hamlets,E09000030,-29,-10,-21,-38,-41,9
2911,2022-10-05,Westminster,E09000033,-41,-17,-31,-43,-40,8
16547,2022-10-05,Havering,E09000016,-12,1,-4,-28,-31,7
31157,2022-10-05,Greenwich,E09000011,-17,8,-15,-9,-42,9
22391,2022-10-05,Merton,E09000024,-24,-12,-28,-28,-35,9
23365,2022-10-05,Newham,E09000025,-21,0,121,-27,-25,6
24339,2022-10-05,Redbridge,E09000026,-15,-4,-20,-26,-42,7
18495,2022-10-05,Hounslow,E09000018,-12,3,4,-15,-25,6
11677,2022-10-05,Enfield,E09000010,-23,-6,-4,-42,-36,7
32131,2022-10-05,Kensington and Chelsea,E09000020,-28,-3,-26,-28,-40,9
1937,2022-10-05,City of London,E09000001,-62,-60,-52,-50,-34,
29209,2022-10-05,Waltham Forest,E09000031,-14,-2,-28,-31,-39,8
26287,2022-10-05,Southwark,E09000028,-32,-11,-15,-45,-36,9
19469,2022-10-05,Islington,E09000019,-45,-18,-21,-71,-48,11
5833,2022-10-05,Bexley,E09000004,-19,6,20,-49,-40,10
7781,2022-10-05,Bromley,E09000006,-12,11,-1,-49,-46,13
17521,2022-10-05,Hillingdon,E09000017,-5,-2,125,-2,-32,6
3885,2022-10-05,Barking and Dagenham,E09000002,-18,6,13,-23,-34,5
15573,2022-10-05,Harrow,E09000015,-10,13,28,-9,-25,8
12651,2022-10-05,Hackney,E09000012,-33,-9,-7,-48,-41,8
30183,2022-10-05,Wandsworth,E09000032,-27,-14,-1,-34,-40,11
27261,2022-10-05,Sutton,E09000029,-17,8,3,-43,-41,9
6807,2022-10-05,Brent,E09000005,-15,3,0,-27,-33,6
20443,2022-10-05,Lambeth,E09000022,-27,-9,19,-45,-36,10
33105,2022-10-05,Kingston upon Thames,E09000021,-25,-8,,-31,-38,10
8755,2022-10-05,Camden,E09000007,-40,-20,-17,-43,-41,10
25313,2022-10-05,Richmond upon Thames,E09000027,-28,-3,-8,-41,-50,11
24338,2022-10-04,Redbridge,E09000026,-11,1,-12,-24,-40,5
26286,2022-10-04,Southwark,E09000028,-25,-8,-2,-22,-32,6
14598,2022-10-04,Haringey,E09000014,-22,-8,-9,-24,-42,5
9728,2022-10-04,Croydon,E09000008,-15,8,6,-24,-29,6
2910,2022-10-04,Westminster,E09000033,-31,-5,-15,-15,-36,6
7780,2022-10-04,Bromley,E09000006,-16,11,-1,-25,-34,7
19468,2022-10-04,Islington,E09000019,-37,-13,-9,-64,-44,8
28234,2022-10-04,Tower Hamlets,E09000030,-17,-3,-3,-31,-38,7
21416,2022-10-04,Lewisham,E09000023,-6,3,4,-21,-34,6
5832,2022-10-04,Bexley,E09000004,-22,5,27,-30,-31,6
31156,2022-10-04,Greenwich,E09000011,-15,4,-3,-9,-38,6
16546,2022-10-04,Havering,E09000016,-13,5,1,-18,-26,6
